EFO_0000530,MA:0000191
EFO_0000949,MA:0000104
EFO_0000962,MA:0000151
EFO_0000973,MA:0000384
UBERON_0000004,MA:0000281
UBERON_0000007,MA:0000176
UBERON_0000010,MA:0000218
UBERON_0000029,MA:0000139
UBERON_0000369,MA:0000891
UBERON_0000473,MA:0000411
UBERON_0000945,MA:0000353
UBERON_0000947,MA:0000062
UBERON_0000948,MA:0000072
UBERON_0000955,MA:0000168
UBERON_0000956,MA:0000185
UBERON_0000970,MA:0000261
UBERON_0000981,MA:0001359
UBERON_0000989,MA:0000408
UBERON_0000990,MA:0000326
UBERON_0000995,MA:0000389
UBERON_0000996,MA:0000394
UBERON_0000998,MA:0000410
UBERON_0001000,MA:0000413
UBERON_0001009,MA:0000010
UBERON_0001043,MA:0000352
UBERON_0001103,MA:0001904
UBERON_0001132,MA:0000128
UBERON_0001153,MA:0000334
UBERON_0001155,MA:0000335
UBERON_0001211,MA:0000137
UBERON_0001242,MA:0001537
UBERON_0001255,MA:0000380
UBERON_0001264,MA:0000120
UBERON_0001301,MA:0001717
UBERON_0001322,MA:0001172
UBERON_0001347,MA:0000058
UBERON_0001348,MA:0000057
UBERON_0001377,MA:0002363
UBERON_0001645,MA:0001100
UBERON_0001723,MA:0000347
UBERON_0001736,MA:0001589
UBERON_0001831,MA:0001585
UBERON_0001891,MA:0000207
UBERON_0001894,MA:0000171
UBERON_0001896,MA:0000206
UBERON_0001897,MA:0000179
UBERON_0001898,MA:0000173
UBERON_0001911,MA:0000145
UBERON_0001981,MA:0000060
UBERON_0002037,MA:0000198
UBERON_0002046,MA:0000129
UBERON_0002048,MA:0000415
UBERON_0002103,MA:0000026
UBERON_0002106,MA:0000141
UBERON_0002107,MA:0000358
UBERON_0002108,MA:0000337
UBERON_0002110,MA:0000356
UBERON_0002113,MA:0000368
UBERON_0002114,MA:0000338
UBERON_0002115,MA:0000340
UBERON_0002116,MA:0000339
UBERON_0002240,MA:0000216
UBERON_0002259,MA:0002567
UBERON_0002298,MA:0000169
UBERON_0002367,MA:0002563
UBERON_0002369,MA:0000116
UBERON_0002370,MA:0000142
UBERON_0002371,MA:0000134
UBERON_0003126,MA:0000441
UBERON_0014892,MA:0003148
