colony	gene	allele
baseline_0	Sytl1	Sytl1<tm1a(KOMP)Wtsi>
129P2/OlaHsd-Mkrn1<Gt(RRB087)Byg>/H_2	Mkrn1	Mkrn1<Gt(RRB087)Byg>
E04 (clone #5)_5	Brd7	Brd7<tm1aWtsi>
Akt2tm1Wtsi_6	Akt2	Akt2<tm1Wcs>
B07 (clone #2 repeat)_7	Mta1	Mta1<tm1aWtsi>
Tpm1tm1aWtsi_8	Tpm1	Tpm1<tm1aWtsi>
Dll1_C413Y_10	Dll1	Dll1<C413Y>
G03 (clone #23)_13	Epc1	Epc1<tm1aWtsi>
Apoetm1Unc_15	Apoe	Apoe<tm1Unc>
Kctd10RRG305_17	Kctd10	Kctd10<Gt(RRG305)Byg>
129P2/OlaHsd-Tpcn2<tm1H>/H_22	Tpcn2	Tpcn2<Gt(YHD437)Byg>
Beethoven_26	Tmc1	Tmc1<Bth>
C3H.Cg-Fbxo11<Jf>/H_27	Fbxo11	Fbxo11<Jf>
EPD0011_3_B08_28	Mta3	Mta3<tm3a(KOMP)Wtsi>
DKK3_30	Dkk3	Dkk3<tm1Cni>
C3H.Cg-Evi1<Jbo>/H_32	Mecom	Mecom<Jbo>
Trm1_33	1190005F20Rik	1190005F20Rik<Gt(W027A02)Wrst>
129-Nespas<tm3Jop>/H_36	Nespas	Unknown
Rassf1tm2Brd_38	Rassf1	Rassf1<tm1.2Brd>
Cadm1m2_41	Cadm1	Cadm1<tm1.2Brd>
C.Cg-Ostes/H_43	Ostes	Ostes
EPD0027_1_A04_46	Mier1	Mier1<tm1a(EUCOMM)Wtsi>
EPD0027_6_C05_47	Herc3	Herc3<tm1a(EUCOMM)Wtsi>
129S6/SvEv-Shh<tm1Chg>_48	Shh	Shh<tm1Chg>
Ube3bRRJ142_49	Ube3b	Ube3b<Gt(RRJ142)Byg>
Tmc1dn_51	Tmc1	Tmc1<dn>
Myo6sv_54	Myo6	Myo6<sv>
B6J-Ucp1<1H>/H_55	Ucp1	Ucp1<m1H>
Dll1_129_56	Dll1	Dll1<tm1Gos>
Matn3m1_59	Matn3	Matn3<tm1Brd>
B6.129P2-Vnn1<tm1Pna>/H_61	Vnn	Vnn1<tm1Pna>
Matn1tm1Goe_63	Matn1	Matn1<tm1Goe>
C3H.Cg-Trpc3<Mwk>/H_67	Trpc3	Trpc3<Mwk>
ENSMUSG00000065586Dmdo_69	Mir96	Mir96<Dmdo>
EPD0017_3_E02_71	Impad1	Impad1<tm1a(KOMP)Wtsi>
EPD0019_1_A05_73	Mysm1	Mysm1<tm1a(KOMP)Wtsi>
C3H.Cg-Vangl2<Lp>/H_75	Vangl2	Vangl2<Lp>
EPD0013_1_C02_77	Baz1b	Baz1b<tm2a(KOMP)Wtsi>
EPD0028_2_E10_78	Brd8	Brd8<tm1a(EUCOMM)Wtsi>
Dlg3_80	Gnl3	Gnl3<Gt(W062C05)Wrst>
EPD0013_1_B09_81	Epc2	Epc2<tm1a(EUCOMM)Wtsi>
B6.Cg-Sfrp5<Q27STOP>/H_82	Sfrp5	Sfrp5<Q27STOP>
ENSMUSG00000067798S-SCAM_85	NULL	S-SCAM
Myo7aHdb_88	Myo7a	Myo7a<Hdb>
B6J-Tg(Thy1-MAPT*P301S)_90	Tg(Thy1-MAPT*P301S)2541Godt 	Tg(Thy1-MAPT*P301S)2541Godt
Cdh23vz_92	Cdh23	Cdh23<v>
EPD0017_2_C11_94	Cc2d1b	Cc2d1b<tm1a(KOMP)Wtsi>
EPD0017_1_C01_96	Ttc39b	Ttc39b<tm1e(EUCOMM)Wtsi>
EPD0027_5_G01_97	Smyd5	Smyd5<tm1a(EUCOMM)Wtsi>
Hmx3hx_98	Hmx3	Hmx3<hx>
Pde6b+_100	Pde6b	Pde6b<+>
Longpockets_101	Lpk	Lpk
EPD0019_1_A03_102	Ctnnal1	Ctnnal1<tm1e(EUCOMM)Wtsi>
EPD0036_1_G01_104	Cdh1	Cdh1<tm1a(EUCOMM)Wtsi>
EPD0018_2_D02_105	Dot1l	Dot1l<tm1a(KOMP)Wtsi>
Ptdsr_106	Jmjd6	Jmjd6<tm1.1Gbf>
C3H.Cg-Scrib<Crc>/H_111	Scrib	Scrib<Crc>
Dll1_C3H_113	Dll1	Dll1<tm1Gos>
Blite_114		Blite
B6J.129-Kcnj16<tm1Sjtu>/H_115	Kcnj16	Kcnj16<tm1Sjtu>
B6.Cg-Mro<tm1H>/H_116	Mro	Mro<tm1H>
129X1-Smo<tm1Amc>/J_117	Smo	Smo<tm1Amc>
C.Cg-Celsr1<Crsh>/H_118	Celsr1	Celsr1<Crsh>
B6.Cg-Sfrp2<C50F>/H _120	Sfrp2	Sfrp2<C50F> 
C3H.Cg-Celsr1<Scy>/H_121	Celsr1	Celsr1<Scy>
B6N-Tnfaip1<tm1a(EUCOMM)Wtsi>/H_122	Tnfaip1	Tnfaip1<tm1a(EUCOMM)Wtsi>
129S6/SvEv-Nodal<tm1Rob>_123	Nodal	Nodal<tm1Rob>
129S6/SvEv-Ablim1<tm1H>/H_124	Ablim1	Unknown
