IMPRESS ID	CATEGORY	CATEGORY
MGP_ANA_002_001	Negative	0
MGP_ANA_002_001	Positive	1
M-G-P_026_001_032	Normal	0
M-G-P_026_001_032	Abnormal	1
M-G-P_026_001_031	Normal	0
M-G-P_026_001_031	Abnormal	1
M-G-P_026_001_030	Normal	0
M-G-P_026_001_030	Abnormal	1
M-G-P_026_001_029	Normal	0
M-G-P_026_001_029	Abnormal	1
M-G-P_026_001_028	Present	0
M-G-P_026_001_028	Absent	1
M-G-P_026_001_027	Normal	0
M-G-P_026_001_027	Abnormal	1
M-G-P_026_001_026	Normal	0
M-G-P_026_001_026	Abnormal	1
M-G-P_026_001_025	Normal	0
M-G-P_026_001_025	Abnormal	1
M-G-P_026_001_024	Normal	0
M-G-P_026_001_024	Abnormal	1
M-G-P_026_001_023	Normal	0
M-G-P_026_001_023	Abnormal	1
M-G-P_026_001_022	Normal	0
M-G-P_026_001_022	Abnormal	1
M-G-P_026_001_021	Normal	0
M-G-P_026_001_021	Abnormal	1
M-G-P_026_001_020	Normal	0
M-G-P_026_001_020	Abnormal	1
M-G-P_026_001_019	Normal	0
M-G-P_026_001_019	Abnormal	1
M-G-P_026_001_018	Normal	0
M-G-P_026_001_018	Abnormal	1
M-G-P_026_001_017	Present	0
M-G-P_026_001_017	Absent	1
M-G-P_026_001_016	Normal	0
M-G-P_026_001_016	Abnormal	1
M-G-P_026_001_015	Normal	0
M-G-P_026_001_015	Abnormal	1
M-G-P_026_001_014	Normal	0
M-G-P_026_001_014	Abnormal	1
M-G-P_026_001_013	Normal	0
M-G-P_026_001_013	Abnormal	1
M-G-P_026_001_012	Normal	0
M-G-P_026_001_012	Abnormal	1
M-G-P_026_001_011	Normal	0
M-G-P_026_001_011	Abnormal	1
M-G-P_026_001_010	Normal	0
M-G-P_026_001_010	Abnormal	1
M-G-P_026_001_009	Normal	0
M-G-P_026_001_009	Abnormal	1
M-G-P_026_001_008	Normal	0
M-G-P_026_001_008	Abnormal	1
M-G-P_026_001_007	Normal	0
M-G-P_026_001_007	Abnormal	1
M-G-P_026_001_006	Normal	0
M-G-P_026_001_006	Abnormal	1
M-G-P_026_001_005	Normal	0
M-G-P_026_001_005	Abnormal	1
M-G-P_026_001_004	Normal	0
M-G-P_026_001_004	Abnormal	1
M-G-P_026_001_003	Present	0
M-G-P_026_001_003	Absent	1
M-G-P_026_001_002	Normal	0
M-G-P_026_001_002	Abnormal	1
M-G-P_026_001_001	Normal	0
M-G-P_026_001_001	Abnormal	1
M-G-P_014_001_015	normal	0
M-G-P_014_001_015	left eye abnormal	1
M-G-P_014_001_015	right eye abnormal	1
M-G-P_014_001_015	bilaterally abnormal	1
M-G-P_014_001_014	normal	0
M-G-P_014_001_014	left eye abnormal	1
M-G-P_014_001_014	right eye abnormal	1
M-G-P_014_001_014	bilaterally abnormal	1
M-G-P_014_001_013	normal	0
M-G-P_014_001_013	left eye abnormal	1
M-G-P_014_001_013	right eye abnormal	1
M-G-P_014_001_013	bilaterally abnormal	1
M-G-P_014_001_013	left eye dilated	1
M-G-P_014_001_013	right eye dilated	1
M-G-P_014_001_013	bilaterally dilated	1
M-G-P_014_001_012	normal	0
M-G-P_014_001_012	left eye abnormal	1
M-G-P_014_001_012	right eye abnormal	1
M-G-P_014_001_012	bilaterally abnormal	1
M-G-P_014_001_011	normal	0
M-G-P_014_001_011	right eye abnormal	1
M-G-P_014_001_011	left eye abnormal	1
M-G-P_014_001_011	bilaterally abnormal	1
M-G-P_014_001_010	normal	0
M-G-P_014_001_010	left eye opaque	1
M-G-P_014_001_010	right eye opaque	1
M-G-P_014_001_010	bilaterally opaque	1
M-G-P_014_001_009	normal	0
M-G-P_014_001_009	left eye abnormal	1
M-G-P_014_001_009	right eye abnormal	1
M-G-P_014_001_009	bilaterally abnormal	1
M-G-P_014_001_008	absent	0
M-G-P_014_001_008	left eye present	1
M-G-P_014_001_008	right eye present	1
M-G-P_014_001_008	bilaterally present	1
M-G-P_014_001_007	normal	0
M-G-P_014_001_007	left eye opaque	1
M-G-P_014_001_007	right eye opaque	1
M-G-P_014_001_007	bilaterally opaque	1
M-G-P_014_001_006	normal	0
M-G-P_014_001_006	left eye abnormal	1
M-G-P_014_001_006	right eye abnormal	1
M-G-P_014_001_006	bilaterally abnormal	1
M-G-P_014_001_005	normal	0
M-G-P_014_001_005	left eye closed	1
M-G-P_014_001_005	right eye closed	1
M-G-P_014_001_005	bilaterally closed	1
M-G-P_014_001_005	left eye closure incomplete	1
M-G-P_014_001_005	right eye closure incomplete	1
M-G-P_014_001_005	closure incomplete bilaterally	1
M-G-P_014_001_004	absent	0
M-G-P_014_001_004	left eye present	1
M-G-P_014_001_004	right eye present	1
M-G-P_014_001_004	bilaterally present	1
M-G-P_014_001_003	normal	0
M-G-P_014_001_003	left eye decreased size	1
M-G-P_014_001_003	right eye decreased size	1
M-G-P_014_001_003	bilaterally decreased size	1
M-G-P_014_001_003	left eye increased size	1
M-G-P_014_001_003	right eye increased size	1
M-G-P_014_001_003	bilaterally increased size	1
M-G-P_014_001_001	normal	0
M-G-P_014_001_001	abnormal	1
M-G-P_014_001_001	left eye absent	1
M-G-P_014_001_001	right eye absent	1
M-G-P_014_001_001	bilaterally absent	1
M-G-P_013_001_016	normal	0
M-G-P_013_001_016	abnormal	1
M-G-P_013_001_014	normal	0
M-G-P_013_001_014	abnormal	1
M-G-P_013_001_013	normal	0
